,id,SERIAL_NUMBER,MANUFACTURER,NAME,MODEL,LOCATION,ROOM,ENERGY_CONSUMPTION,BTU,MICROCODE,PATCH_LEVEL,CUSTOMER_ID,HOSTS_APPLICATION,TCPADDR1,TCPADDR2,TCPADDR3,SW_GUI,INVESTMENT_DATE,MAINTENANCE_EXPIRATION_DATE,MAINTENANCE_PROVIDER,MAINTENANCE_CONTRACT,IS_EXTENSION_REQUIRED,IS_MIGRATION_REQUIRED,RAID_CONFIG,USABLE_CAPACITY_GB,CAPACITY_IN_USE_GB,FREE_CAPACITY_GB,EXTENSION,COMMENT_1,STORAGE_TYPE,READADMIN,RACK,COST_CENTER,CO2_KG,SECOND_INVESTMENT_DATE
26,1504,30131-90057,HDS,ffm-hcp01.asf.madm.net,HCP S10,FFM,M7,0,,,,490863i,S3 Speicher,10.21.81.50,,,HCP S Series (Port 8000),01.05.2016,30.04.2020,HDS,,,,,,,,,,,,M16,,,
27,1489,Cluster,NetApp,dus30fsra010,Clustername,DUS,M3,0,,,,,,10.16.212.89,,,,1.1.2015,31.12.2018,ComputaCenter,,,,,,,,,,,,G6,,,
28,1488,211451000144,NetApp,dus30fsra010_02,FAS8060,DUS,M3,0,,,,,,10.16.212.91,,,,1.1.2015,31.12.2018,ComputaCenter,,,,,140000.0,,,,,,,G6,,,
29,1487,211451000143,NetApp,dus30fsra010_01,FAS8060,DUS,M3,0,,,,,,10.16.212.90,,,,1.1.2015,31.12.2018,ComputaCenter,,,,,140000.0,,,,,,,G6,,,
30,1486,Cluster,NetApp,ffm30fsra010,Clustername,FFM,M7,0,,,,,,10.21.81.13,,,,1.1.2015,31.12.2018,ComputaCenter,,,,,,,,,,,,M17/M18,,,
31,1485,211451000190,NetApp,ffm30fsra010_02,FAS8060,FFM,M7,0,,,,,,10.21.81.11,,,,1.1.2015,31.12.2018,ComputaCenter,,,,,140000.0,,,,,,,M17/M18,,,
32,1484,211451000189,NetApp,ffm30fsra010_01,FAS8060,FFM,M7,0,,,,,,10.21.81.10,,,,1.1.2015,31.12.2018,ComputaCenter,,,,,140000.0,,,,,,,M17/M18,,,
33,1467,470511,HDS,HDSVM12,VSP F400,FFM,M7,0,,83-03-02-40,,490863i,SVC Flash,10.21.151.182,10.21.151.183,10.21.151.184,Hitachi Command Suite 8,31.03.2016,31.03.2020,HDS,,,,,97880.0,,,,,Flash Block,,H2,3310-601,,
34,1466,470564,HDS,HDSVM11,VSP F400,FFM,M2,0,,83-03-02-40,,490863i,SVC Flash,10.21.151.179,10.21.151.180,10.21.151.181,Hitachi Command Suite 8,31.03.2016,31.03.2020,HDS,,,,,97880.0,,,,,Flash Block,,D5,3310-601,,
35,1465,470772,HDS,HDSVM10,VSP G800,FFM,M7,0,,83-03-02-60,,490863i,SVC Block Storage,10.21.151.176,10.21.151.177,10.21.151.178,Hitachi Command Suite 8,31.03.2016,31.03.2020,HDS,,,,,458500.0,,,,,Midrange Block,,H3,3310-601,,
36,1464,470530,HDS,HDSVM09,VSP G800,FFM,M2,0,,83-03-02-60,,490863i,SVC Block Storage,10.21.151.173,10.21.151.174,10.21.151.175,Hitachi Command Suite 8,31.03.2016,31.03.2020,HDS,,,,,458500.0,,,,,Midrange Block,,D4,3310-601,,
37,1446,470748,HDS,HDSVM06,VSP F400,DUS,BK1,0,,83-03-02-40,,387719 i,SVC Flash,10.16.72.58,10.16.72.73,10.16.72.74,Hitachi Command Suite 8,31.03.2016,31.03.2020,HDS,,,,,60000.0,,,,,Flash Block,,A1,3310-601,,
38,1445,470747,HDS,HDSVM07,VSP F400,DUS,BK2,0,,83-03-02-40,,387719 i,SVC Flash,10.16.72.59,10.16.72.75,10.16.72.76,Hitachi Command Suite 8,31.03.2016,31.03.2020,HDS,,,,,60000.0,,,,,Flash Block,,D2,3310-601,,
39,1444,410227,HDS,HDSVM08,VSP G600,DUS,BK2,0,,83-03-02-40,,387719 i,SVC Block Storage,10.16.72.70,10.16.72.71,10.16.72.72,Hitachi Command Suite 8,31.03.2016,31.03.2020,HDS,,,,,280000.0,,,,,Midrange Block,,D1,3310-601,,
40,1424,470638,HDS,DUS30STG013,VSP G400,DUS,Rob2,0,,,,,Backup / VEEAM,10.16.212.60,10.16.212.68,10.16.212.69,Hitachi Command Suite 8,30.03.2016,29.03.2020,HDS,,,,,570000.0,,570000,,,Midrange,,A11,3310-602,,
41,1404,CETV2143100069,EMC,CETV2143100069,VNX5200,"BE, Wommelgem",RZ,0,,,05.33.006.5.102,,VMware,10.136.129.230,,,EMC Unified Manager,2015,2018,Econocom,,,,,,,,,,,,,,,
42,1364,78A1056,IBM,SWFFM02,2078 24C V5000,FFM,M4,0,,,7.5.0.3,879430,Backup I265,10.21.151.170,10.21.151.171,10.21.151.172,,10.12.2015,09.12.2019,IBM,,,,,352800.0,,,,Backup TSM I265,Diskpool,,neu,,,
43,1344,CKM00155201352,EMC DataDomain,FFM30VTLDD03,DD4500,FFM,M4,0,,,5.6.0.3-485123,,Backup DD Boost IP Replication,10.21.81.35,10.21.81.36,,Data Domain System Manager,20.12.2015,19.12.2019,Orchestra,,,,,358400.0,,358400,,,Backup,,neu,3310-603,,
44,1327,7812799,IBM,XIV13,2812 114 G3,FFM,M2,17303,"59213,874",15 Module,11.6.0.b,879430,MMS/-Inter/Siebel,10.21.151.129,10.21.151.130,10.21.151.131,,30.09.2015,30.09.2019,IBM,,,,,498000.0,,,,,Block,,C6,3310-601,10.4,
45,1326,7812798,IBM,XIV14,2812 114 G3,FFM,M7,17303,"59213,874",15 Module,11.6.0.b,879430,MMS/-Inter/Siebel,10.21.151.132,10.21.151.133,10.21.151.134,,30.09.2015,30.09.2019,IBM,,,,,498000.0,,,,,Block,,H1,3310-601,10.4,
